PLD ,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KN2,NN2 1 Bar (mol/kg)
4.10445,5.76724,1.405118834,861.688,0.50398,0.398898237,46.42857143,28.57142857,3.571428571,17.85714286,3.571428571,0,649,7.17417E-06,0.218571528
5.00855,5.72682,1.143408771,759.791,0.49644,0.387655979,46.42857143,28.57142857,3.571428571,17.85714286,3.571428571,0,865,6.08198E-06,0.180133371
3.91364,4.43355,1.132845637,434.935,0.48232,0.389712596,45.71428571,34.28571429,5.714285714,11.42857143,2.857142857,0,721,2.12209E-05,0.286387454
3.85295,5.48974,1.424814752,196.403,0.44944,0.261885478,29.19708029,23.35766423,5.839416058,27.73722628,13.13868613,0.729927007,385,1.77444E-06,0.065670653
3.86825,5.46006,1.411506495,186.35,0.45158,0.265549381,29.19708029,23.35766423,5.839416058,27.73722628,13.13868613,0.729927007,385,1.92161E-06,0.072241055
4.9065,10.017,2.041577499,1810.4,0.67828,0.65297085,35.29411765,17.64705882,17.64705882,20.58823529,8.823529412,0,577,1.77276E-06,0.086915467
5.30365,5.97541,1.126659942,752.674,0.53846,0.442590477,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513,5.48237E-06,0.167744133
5.31331,5.9443,1.118756481,702.209,0.52528,0.407838753,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513,6.00615E-06,0.169925466
5.29096,5.93338,1.121418419,684.856,0.52144,0.396312313,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513,6.25995E-06,0.169950185
5.05258,12.71447,2.516431209,1584.52,0.68038,0.667098077,31.57894737,31.57894737,10.52631579,21.05263158,5.263157895,0,145,9.86898E-06,0.192565734
17.12424,25.68553,1.499951531,3165.13,0.84016,2.087006635,47.72727273,29.54545455,6.818181818,13.63636364,2.272727273,0,697,2.40881E-06,0.119326105
6.55138,9.28386,1.417084645,2639.64,0.71238,0.986507839,48.64864865,32.43243243,0,16.21621622,2.702702703,0,1153,3.64894E-06,0.170411085
5.99724,16.37935,2.731147995,4364.51,0.77264,1.482291505,49.31506849,32.87671233,0,16.43835616,1.369863014,0,289,4.67511E-06,0.228462777
5.12689,5.99825,1.169958786,1335.97,0.58244,0.528870688,37.38317757,29.90654206,8.411214953,2.803738318,1.869158879,16.82242991,649,5.05802E-06,0.211449761
4.09997,4.64022,1.131769257,986.751,0.53114,0.496726769,53.06122449,32.65306122,4.081632653,8.163265306,2.040816327,0,721,1.07914E-05,0.305831756
5.08524,7.14066,1.404193312,885.166,0.5421,0.409797029,53.84615385,25.64102564,2.564102564,10.25641026,2.564102564,5.128205128,769,2.81934E-06,0.114389291
4.52097,6.3306,1.40027472,984.296,0.55848,0.497651996,35.29411765,35.29411765,23.52941176,0,5.882352941,0,721,3.1407E-06,0.115147418
4.7481,6.43864,1.356045576,1004.7,0.5662,0.502958054,35.29411765,35.29411765,23.52941176,0,5.882352941,0,721,3.09903E-06,0.113278944
6.81408,8.80212,1.29175472,1440.69,0.62122,0.586228048,52.5,30,0,15,2.5,0,721,5.45295E-06,0.202003777
6.54754,8.32882,1.272053321,1453.29,0.61562,0.591504367,52.5,30,0,15,2.5,0,721,5.79928E-06,0.218418753
6.74118,8.79334,1.304421481,1375.75,0.61642,0.563043478,52.5,30,0,15,2.5,0,1081,5.37215E-06,0.198394798
4.22739,5.94533,1.406383135,1472.13,0.61602,0.629798737,39.0625,32.8125,23.4375,1.5625,3.125,0,523,4.77701E-06,0.197740491
5.81418,5.92566,1.019173813,302.984,0.4119,0.244852102,31.57894737,21.05263158,0,42.10526316,5.263157895,0,641,1.41137E-06,0.050856457
8.61929,9.08566,1.054107705,2492.78,0.71372,0.936779339,40,32,24,0,4,0,385,3.05402E-06,0.150565002
5.71785,7.73482,1.352749722,1460.84,0.59278,0.60521845,58.06451613,19.35483871,19.35483871,0,3.225806452,0,1441,2.8833E-06,0.133098778
4.7743,5.96671,1.249755985,1512.65,0.58902,0.613754298,45.71428571,35.71428571,2.857142857,13.57142857,2.142857143,0,937,8.91026E-06,0.228316979
5.47442,8.69504,1.588303418,2309.37,0.65516,0.835352139,47.63636364,34.18181818,2.181818182,13.81818182,2.181818182,0,673,4.00472E-06,0.180104555
4.58891,5.43312,1.183967435,1349.7,0.62754,0.452636666,47.36842105,15.78947368,0,31.57894737,5.263157895,0,541,4.40417E-06,0.199565822
6.25183,6.77693,1.083991407,650.902,0.51648,0.291475493,34.375,12.5,12.5,34.375,6.25,0,577,1.83793E-06,0.082738014
6.85619,10.92956,1.594115682,2103.35,0.68816,0.689283532,45,15,0,31.66666667,8.333333333,0,1441,3.11598E-06,0.140142459
8.71559,12.6138,1.44726863,3282.06,0.75884,1.30010708,44.24778761,38.9380531,7.079646018,7.079646018,2.654867257,0,449,3.31787E-06,0.152673248
4.90729,5.63222,1.147725119,798.657,0.55474,0.385857771,45.45454545,13.63636364,0,36.36363636,4.545454545,0,817,3.04747E-06,0.122545658
5.90611,6.16099,1.043155309,1900.69,0.66248,0.611973802,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649,2.85329E-06,0.133751371
9.20691,13.91201,1.511040078,3299.9,0.7798,1.265837168,73.4375,0,4.6875,17.1875,4.6875,0,377,2.60257E-06,0.1281176
4.11181,6.0722,1.476770571,1077.01,0.59632,0.512060453,25.71428571,25.71428571,34.28571429,5.714285714,4.285714286,4.285714286,289,2.95378E-06,0.127478665
3.90831,4.44036,1.136133009,159.995,0.40324,0.179223354,16,18,0,48,10,0,190,1.61806E-06,0.053528835
4.32303,5.2765,1.220555953,614.956,0.51092,0.373689869,50.90909091,29.09090909,2.424242424,14.54545455,3.03030303,0,961,3.53916E-06,0.124757007
4.89301,7.12611,1.456385742,359.997,0.42696,0.215210291,26.96629213,33.70786517,6.741573034,26.96629213,5.617977528,0,325,2.40716E-06,0.072919314
4.85632,5.15455,1.061410698,290.49,0.42748,0.218491089,46.34146341,14.63414634,0,19.51219512,4.87804878,14.63414634,1537,1.20954E-06,0.050974567
5.31262,5.94406,1.118856609,1676.32,0.585,0.631851129,50.90909091,36.36363636,3.636363636,7.272727273,1.818181818,0,721,7.95809E-06,0.292091035
4.38484,5.04792,1.151221025,637.477,0.50342,0.385830453,35.05154639,35.05154639,8.24742268,14.43298969,3.092783505,0,409,5.84298E-06,0.161450234
5.98269,11.92678,1.993548053,3595.66,0.7674,1.180669877,52,16,4,24,4,0,529,3.93679E-06,0.178508911
5.8094,8.58065,1.477028609,3829.97,0.74696,1.071239061,52,16,4,24,4,0,705,3.48042E-06,0.168678368
14.56862,19.86541,1.363575273,5239.57,0.8979,3.268954219,44.11764706,30.88235294,8.823529412,13.97058824,2.205882353,0,469,3.48536E-06,0.173221368
7.13825,18.06508,2.53074353,3583.27,0.78558,1.307595767,44,24,8,20,4,0,385,3.45722E-06,0.166773101
7.10984,18.20917,2.561122332,3616.43,0.7878,1.330574674,44,24,8,20,4,0,385,3.41618E-06,0.166109088
3.91412,6.17139,1.576699233,348.73,0.47888,0.334268683,38.24701195,19.52191235,19.12350598,18.32669323,4.780876494,0,573,1.38342E-06,0.063125014
5.01976,7.8603,1.565871675,1872.41,0.63848,0.651621246,44.73684211,26.31578947,0,23.68421053,5.263157895,0,577,3.12015E-06,0.149847071
5.75713,6.38387,1.10886327,836.806,0.56368,0.42108094,42.5,25,0,25,7.5,0,769,6.6132E-07,0.033017251
5.21411,9.3993,1.802666227,1734.94,0.65336,0.7249519,49.6350365,27.73722628,2.919708029,17.51824818,2.189781022,0,1177,2.91697E-06,0.134483699
5.599,9.32283,1.665088409,1886.63,0.66208,0.703914333,51.5625,24.21875,2.34375,18.75,3.125,0,1213,2.8516E-06,0.13433139
5.12412,6.86569,1.339876896,763.837,0.52398,0.439694887,45.71428571,22.85714286,0,25.71428571,5.714285714,0,769,7.20379E-07,0.035589843
5.02701,7.87306,1.566151649,1814.29,0.62718,0.698071227,43.38624339,38.0952381,2.645502646,14.28571429,1.587301587,0,1105,3.25835E-06,0.147543546
4.84057,5.59976,1.156838967,802.013,0.57368,0.384617448,31.74603175,22.22222222,12.6984127,3.174603175,11.11111111,19.04761905,209,6.88038E-07,0.033189379
6.77342,8.54387,1.26138199,5152.82,0.78994,1.393388838,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,3.4871E-06,0.174494378
6.76817,8.54787,1.262951433,5042.3,0.78954,1.361419046,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,3.18122E-06,0.157973451
6.74275,8.53005,1.26506989,4965.77,0.78896,1.335163282,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,3.09734E-06,0.153471902
13.37911,18.75501,1.401812976,3444.39,0.83558,1.961704066,49.12280702,28.07017544,7.01754386,14.03508772,1.754385965,0,241,2.15871E-06,0.10710223
5.66314,6.60314,1.165985655,524.815,0.44294,0.296779208,40,24,16,16,4,0,757,4.87716E-06,0.127332594
6.0951,6.93247,1.137384128,591.602,0.45062,0.308821514,40,24,16,16,4,0,1345,4.29138E-06,0.132142222
9.17864,11.03089,1.201800049,1145.77,0.60242,0.597959224,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,4.72083E-06,0.138403089
11.07263,11.39418,1.029040074,1178.61,0.6096,0.620543281,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,4.61898E-06,0.136597252
9.50667,11.07211,1.164667544,1167.32,0.60696,0.613756742,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,4.66668E-06,0.136988089
10.87494,11.21563,1.031327989,1161.61,0.60852,0.617172136,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,4.63248E-06,0.134616847
4.48972,4.82905,1.075579323,498.601,0.46842,0.40045481,49.18032787,39.3442623,3.278688525,6.557377049,1.639344262,0,1081,5.74552E-06,0.142287117
4.36379,5.11388,1.171889573,482.873,0.50074,0.372405381,39.47368421,28.94736842,5.263157895,21.05263158,5.263157895,0,609,2.58857E-06,0.09816682
8.78636,9.98598,1.136532079,3035.04,0.7058,0.914761777,51.76470588,37.64705882,4.705882353,0,2.941176471,0.588235294,897,3.8109E-06,0.174042752
8.69532,10.40349,1.196447054,1497.19,0.64902,0.709970235,48.68421053,27.63157895,3.947368421,15.78947368,3.947368421,0,637,1.60623E-06,0.077682539
7.79614,8.64297,1.108621703,1258.11,0.5941,0.579937916,48.27586207,29.88505747,4.597701149,13.79310345,3.448275862,0,697,1.56444E-06,0.075668544
6.10595,6.92762,1.13456874,990.715,0.59186,0.411511132,42.10526316,5.263157895,0,26.31578947,5.263157895,21.05263158,721,3.18918E-06,0.139503653
4.44244,5.09322,1.146491568,298.797,0.40752,0.271714417,44.51612903,32.90322581,2.580645161,15.48387097,4.516129032,0,1393,1.73846E-06,0.061364099
4.98752,7.28969,1.461586119,2840.95,0.69504,0.833652182,53.57142857,17.85714286,3.571428571,21.42857143,3.571428571,0,601,4.43091E-06,0.20453315
5.88473,7.80429,1.326193385,2788.93,0.70156,0.876048765,53.57142857,17.85714286,3.571428571,21.42857143,3.571428571,0,601,3.99694E-06,0.18849598
10.2051,14.4419,1.415164967,4586.09,0.83078,1.873366571,53.16455696,27.84810127,0,15.18987342,3.797468354,0,993,3.14496E-06,0.155255269
6.75838,13.85309,2.049764884,3830.71,0.7851,1.382284017,53.84615385,26.92307692,0,15.38461538,3.846153846,0,505,3.47185E-06,0.170512229
7.08849,11.39005,1.606837281,4068.51,0.7795,1.333230711,53.84615385,26.92307692,0,15.38461538,3.846153846,0,673,3.7536E-06,0.182008943
4.07573,5.65344,1.387098753,1048.47,0.62164,0.617153296,51.61290323,19.35483871,0,25.80645161,3.225806452,0,469,5.88124E-06,0.236306964
11.06312,12.00094,1.084769938,1005.54,0.5942,0.615459829,49.18032787,29.50819672,3.278688525,6.557377049,1.639344262,9.836065574,1009,7.20188E-06,0.136226364
4.06272,5.40727,1.330948232,784.952,0.50734,0.38716127,37.20930233,32.55813953,18.60465116,6.976744186,2.325581395,0,577,5.89398E-06,0.181894541
3.80274,4.93858,1.298689892,452.178,0.48374,0.323396688,37.93103448,31.03448276,18.3908046,6.896551724,3.448275862,0,1249,3.27813E-06,0.10828711
14.09199,24.7893,1.759105705,5269.79,0.89054,2.986244777,58.06451613,12.90322581,0,25.80645161,3.225806452,0,193,3.09911E-06,0.152954888
5.37606,5.6853,1.057521679,1400.16,0.60772,0.564863785,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649,3.68006E-06,0.161069792
5.13016,6.30636,1.229271602,1373.06,0.6208,0.564071345,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649,3.8949E-06,0.165805388
6.30843,7.60741,1.205911772,2136.66,0.66196,0.76818991,53.33333333,31.11111111,4.444444444,8.888888889,2.222222222,0,1633,3.9065E-06,0.176855306
5.459,8.64919,1.584390914,1106.56,0.5586,0.597752169,47.32394366,40,1.690140845,10.14084507,0.845070423,0,777,1.93369E-06,0.08853765
