PLD,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KCH4,NCH4 0.1 Bar (mol/kg)
3.86825,5.46006,1.41,186.35,0.45158,0.265549381,29.19708029,23.35766423,5.839416058,27.73722628,13.13868613,0.729927007,385.00,9.26366E-06,0.045126551
4.9065,10.017,2.04,1810.4,0.67828,0.65297085,35.29411765,17.64705882,17.64705882,20.58823529,8.823529412,0,577.00,4.29773E-06,0.021223896
5.30365,5.97541,1.13,752.674,0.53846,0.442590477,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513.00,0.000030652,0.145357593
5.31331,5.9443,1.12,702.209,0.52528,0.407838753,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513.00,0.000035782,0.166686527
5.29096,5.93338,1.12,684.856,0.52144,0.396312313,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513.00,0.000038294,0.179754218
5.05258,12.71447,2.52,1584.52,0.68038,0.667098077,31.57894737,31.57894737,10.52631579,21.05263158,5.263157895,0,145.00,7.75146E-05,0.267591692
17.12424,25.68553,1.50,3165.13,0.84016,2.087006635,47.72727273,29.54545455,6.818181818,13.63636364,2.272727273,0,697.00,4.53638E-06,0.022703809
6.55138,9.28386,1.42,2639.64,0.71238,0.986507839,48.64864865,32.43243243,0,16.21621622,2.702702703,0,1153.00,1.10221E-05,0.054501673
5.99724,16.37935,2.73,4364.51,0.77264,1.482291505,49.31506849,32.87671233,0,16.43835616,1.369863014,0,289.00,1.28194E-05,0.063842327
5.12689,5.99825,1.17,1335.97,0.58244,0.528870688,37.38317757,29.90654206,8.411214953,2.803738318,1.869158879,16.82242991,649.00,1.87282E-05,0.093163937
4.09997,4.64022,1.13,986.751,0.53114,0.496726769,53.06122449,32.65306122,4.081632653,8.163265306,2.040816327,0,721.00,7.26787E-05,0.346172335
5.08524,7.14066,1.40,885.166,0.5421,0.409797029,53.84615385,25.64102564,2.564102564,10.25641026,2.564102564,5.128205128,769.00,1.24785E-05,0.061398704
4.52097,6.3306,1.40,984.296,0.55848,0.497651996,35.29411765,35.29411765,23.52941176,0,5.882352941,0,721.00,1.72038E-05,0.083159794
4.7481,6.43864,1.36,1004.7,0.5662,0.502958054,35.29411765,35.29411765,23.52941176,0,5.882352941,0,721.00,0.000017051,0.081474326
6.81408,8.80212,1.29,1440.69,0.62122,0.586228048,52.5,30,0,15,2.5,0,721.00,2.89961E-05,0.136438056
6.54754,8.32882,1.27,1453.29,0.61562,0.591504367,52.5,30,0,15,2.5,0,721.00,2.81922E-05,0.134136882
6.74118,8.79334,1.30,1375.75,0.61642,0.563043478,52.5,30,0,15,2.5,0,1081.00,3.07904E-05,0.143705932
4.22739,5.94533,1.41,1472.13,0.61602,0.629798737,39.0625,32.8125,23.4375,1.5625,3.125,0,523.00,2.11914E-05,0.103972652
5.81418,5.92566,1.02,302.984,0.4119,0.244852102,31.57894737,21.05263158,0,42.10526316,5.263157895,0,641.00,7.47496E-06,0.036047957
8.61929,9.08566,1.05,2492.78,0.71372,0.936779339,40,32,24,0,4,0,385.00,8.4054E-06,0.041968541
5.71785,7.73482,1.35,1460.84,0.59278,0.60521845,58.06451613,19.35483871,19.35483871,0,3.225806452,0,1441.00,9.64983E-06,0.047959342
4.7743,5.96671,1.25,1512.65,0.58902,0.613754298,45.71428571,35.71428571,2.857142857,13.57142857,2.142857143,0,937.00,0.000067711,0.252012075
5.47442,8.69504,1.59,2309.37,0.65516,0.835352139,47.63636364,34.18181818,2.181818182,13.81818182,2.181818182,0,673.00,1.40346E-05,0.069544237
4.58891,5.43312,1.18,1349.7,0.62754,0.452636666,47.36842105,15.78947368,0,31.57894737,5.263157895,0,541.00,0.000011541,0.057170128
6.25183,6.77693,1.08,650.902,0.51648,0.291475493,34.375,12.5,12.5,34.375,6.25,0,577.00,5.20327E-06,0.025809098
6.85619,10.92956,1.59,2103.35,0.68816,0.689283532,45,15,0,31.66666667,8.333333333,0,1441.00,1.00546E-05,0.049314664
8.71559,12.6138,1.45,3282.06,0.75884,1.30010708,44.24778761,38.9380531,7.079646018,7.079646018,2.654867257,0,449.00,1.05069E-05,0.051151797
4.90729,5.63222,1.15,798.657,0.55474,0.385857771,45.45454545,13.63636364,0,36.36363636,4.545454545,0,817.00,1.38824E-05,0.068494679
5.90611,6.16099,1.04,1900.69,0.66248,0.611973802,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649.00,9.04929E-06,0.04466833
9.20691,13.91201,1.51,3299.9,0.7798,1.265837168,73.4375,0,4.6875,17.1875,4.6875,0,377.00,5.14601E-06,0.025359982
4.11181,6.0722,1.48,1077.01,0.59632,0.512060453,25.71428571,25.71428571,34.28571429,5.714285714,4.285714286,4.285714286,289.00,0.000013071,0.064139643
3.90831,4.44036,1.14,159.995,0.40324,0.179223354,16,18,0,48,10,0,190.00,9.50865E-06,0.045066608
